2026-07-27T19:19:33.609552298Z [inf]  Starting Container
2026-07-27T19:20:48.587975207Z [inf]  2026-07-27T19:20:48+0000 | INFO     | app.services.message_service | Stored new business message chat_id=1335699132 message_id=47756 media=text
2026-07-27T19:20:48.596813655Z [inf]  2026-07-27T19:20:48+0000 | INFO     | aiogram.event | Update id=745967842 is handled. Duration 29 ms by bot id=1162707887
2026-07-27T19:20:48.596818190Z [inf]  2026-07-27T19:20:48+0000 | INFO     | http | POST /webhook -> 200 (29.9ms)
2026-07-27T19:20:52.374838119Z [inf]  2026-07-27T19:20:52+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745967843
2026-07-27T19:20:52.374841591Z [inf]  2026-07-27T19:20:52+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745967844
2026-07-27T19:20:52.388395088Z [inf]  2026-07-27T19:20:52+0000 | INFO     | app.services.message_service | Stored new business message chat_id=6881815417 message_id=571597 media=text
2026-07-27T19:20:52.395451111Z [inf]  2026-07-27T19:20:52+0000 | INFO     | aiogram.event | Update id=745967843 is handled. Duration 21 ms by bot id=1162707887
2026-07-27T19:20:52.395455445Z [inf]  2026-07-27T19:20:52+0000 | INFO     | http | POST /webhook -> 200 (23.4ms)
2026-07-27T19:20:52.397246762Z [inf]  2026-07-27T19:20:52+0000 | INFO     | app.services.message_service | Stored new business message chat_id=1335699132 message_id=47757 media=text
2026-07-27T19:20:52.398955343Z [inf]  2026-07-27T19:20:52+0000 | INFO     | aiogram.event | Update id=745967844 is handled. Duration 26 ms by bot id=1162707887
2026-07-27T19:20:52.398959992Z [inf]  2026-07-27T19:20:52+0000 | INFO     | http | POST /webhook -> 200 (26.9ms)
2026-07-27T19:20:53.066106442Z [inf]  2026-07-27T19:20:53+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745967845
2026-07-27T19:20:53.066109795Z [inf]  2026-07-27T19:20:53+0000 | INFO     | app.services.message_service | Stored new business message chat_id=79104627 message_id=1030150 media=text
2026-07-27T19:20:53.066113355Z [inf]  2026-07-27T19:20:53+0000 | INFO     | app.business.handlers | dot-save: triggered owner=6731288454 chat=79104627 reply_to=1029706
2026-07-27T19:20:53.066117112Z [inf]  2026-07-27T19:20:53+0000 | INFO     | aiogram.event | Update id=745967845 is handled. Duration 30 ms by bot id=1162707887
2026-07-27T19:20:53.066120630Z [inf]  2026-07-27T19:20:53+0000 | INFO     | http | POST /webhook -> 200 (32.3ms)
2026-07-27T19:20:53.066124139Z [inf]  2026-07-27T19:20:53+0000 | INFO     | app.business.handlers | dot-save: message 1029706 is non-media (type=MediaType.TEXT) — skipping
2026-07-27T19:20:58.243885339Z [inf]  2026-07-27T19:20:58+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745967846
2026-07-27T19:20:58.267466404Z [inf]  2026-07-27T19:20:58+0000 | INFO     | app.services.message_service | Stored new business message chat_id=1780262312 message_id=156892 media=text
2026-07-27T19:20:58.267469147Z [inf]  2026-07-27T19:20:58+0000 | INFO     | aiogram.event | Update id=745967846 is handled. Duration 21 ms by bot id=1162707887
2026-07-27T19:20:58.267471798Z [inf]  2026-07-27T19:20:58+0000 | INFO     | http | POST /webhook -> 200 (21.1ms)
